COMPETENCIA;VALOR;VALOR_GOOGLE
01/08/2018;0,0037148195588312394;0,37150000000000;
01/09/2018;0,0037148195588312394;0,37150000000000;
01/10/2018;0,0037148195588312394;0,37150000000000;
01/11/2018;0,0037148195588312394;0,37150000000000;
01/12/2018;0,0037148195588312394;0,37150000000000;
01/01/2019;0,0037148195588312394;0,37150000000000;
01/02/2019;0,0037148195588312394;0,37150000000000;
01/03/2019;0,0037148195588312394;0,37150000000000;
01/04/2019;0,0037148195588312394;0,37150000000000;
01/05/2019;0,0037148195588312394;0,37150000000000;
01/06/2019;0,0037148195588312394;0,37150000000000;
01/07/2019;0,0037148195588312394;0,37150000000000;
01/08/2019;0,003434379290046863;0,34340000000000;
01/09/2019;0,003434379290046863;0,34340000000000;
01/10/2019;0,0031530742084739938;0,31530000000000;
01/11/2019;0,002870898719076642;0,28710000000000;
01/12/2019;0,002870898719076642;0,28710000000000;
01/01/2020;0,002587847171547919;0,25880000000000;
01/02/2020;0,002587847171547919;0,25880000000000;
01/03/2020;0,0024459910949696795;0,24460000000000;
01/04/2020;0,0021616147432015342;0,21620000000000;
01/05/2020;0,0021616147432015342;0,21620000000000;
01/06/2020;0,00173337883251512;0,17330000000000;
01/07/2020;0,0013031196473178852;0,13030000000000;
01/08/2020;0,0013031196473178852;0,13030000000000;
01/09/2020;0,0011592468385308585;0,11590000000000;
01/10/2020;0,0011592468385308585;0,11590000000000;
01/11/2020;0,0011592468385308585;0,11590000000000;
