CompetenciaIndices,SalarioMinimo,SMReferencia,TetoContribuicao,TetoBeneficio,DataBase,FatorIntegral,FatorProporcional,MultiplicadorMoeda,AjusteMoeda,IndiceAtualizacao,IndiceAcumulado,IndiceRes134,IndiceRes134Acumulado,IndiceSalarios,IndiceSCAcumulado,IPCA,IPCAE,IndiceCondenatorias,IndiceCondenatoriasAcumulado,Selic,Juros
11/1970,"187,2",-,1872,1872,FALSE,-,-,1,"0,000001","1,0212327355","2,3169398748","1,0212327355","1,1586901045","1,0212327355","1804210,85557175",-,-,"1,0212327355","0,0016477955","0,00%","1,0000%"
12/1970,"187,2",-,1872,1872,FALSE,-,-,1,"0,000001","1,0195801373","2,2687677296","1,0195801373","1,1345994544","1,0195801373","1766699,00290241",-,-,"1,0195801373","0,0016135357","0,00%","1,0000%"
01/1971,"187,2",-,1872,1872,FALSE,-,-,1,"0,000001","1,0184121956","2,2251980464","1,0184121956","1,1128104726","1,0184121956","1732771,10678649",-,-,"1,0184121956","0,0015825492","0,00%","1,0000%"
02/1971,"187,2",-,1872,1872,FALSE,-,-,1,"0,000001","1,0132192846","2,1849679884","1,0132192846","1,0926916207","1,0132192846","1701443,79089785",-,-,"1,0132192846","0,0015539378","0,00%","1,0000%"
03/1971,"187,2",-,1872,1872,FALSE,-,-,1,"0,000001","1,0099769762","2,1564611152","1,0099769762","1,0784354752","1,0099769762","1679245,36845329",-,-,"1,0099769762","0,0015336638","0,00%","1,0000%"
04/1971,"187,2",-,1872,1872,FALSE,-,-,1,"0,000001","1,0115881459","2,1351586878","1,0115881459","1,0677822373","1,0115881459","1662657,07833939",-,-,"1,0115881459","0,0015185136","0,00%","1,0000%"
05/1971,"225,6",-,2562,2562,FALSE,-,-,1,"0,000001","1,0142723005","2,1106995929","1,0142723005","1,0555503656","1,0142723005","1643610,67800536",-,-,"1,0142723005","0,0015011185","0,00%","1,0000%"
06/1971,"225,6",-,2562,2562,FALSE,-,-,1,"0,000001","1,0198111461","2,0809989506","1,0198111461","1,0406972222","1,0198111461","1620482,66254",-,-,"1,0198111461","0,0014799955","0,00%","1,0000%"
07/1971,"225,6",-,2562,2562,FALSE,-,-,1,"0,000001","1,0199709513","2,0405728636","1,0199709513","1,0204803371","1,0199709513","1589002,6979627",-,-,"1,0199709513","0,0014512447","0,00%","1,0000%"
08/1971,"225,6",-,2562,2562,FALSE,-,-,1,"0,000001","1,021003916","2,0006186067","1,021003916","1,0004994121","1,021003916","1557890,14958678",-,-,"1,021003916","0,0014228294","0,00%","1,0000%"
